>hkb    10  0.25
121.68162393162399 16.000769230769187 180.8757264957267 22.44188034188027 
33.98341880341865 9.326495726495676 140.97581196581183 156.71427350427365 
52.374102564102365 4.808974358974358 280.523504273503 3.29341880341879 
4.430085470085439 3.29341880341879 327.33085470084995 5.945641025641014 
4.400940170940169 4.779829059829054 328.1760683760638 3.6431623931623647 
11.220940170940136 313.8948717948682 6.936581196581183 8.94760683760679 
6.382820512820507 3.3517094017093885 327.15598290597836 4.109487179487162 
1.1075213675213649 2.244188034188027 41.328034188034124 296.3202564102537 
3.0019658119658 5.916495726495709 177.4948717948723 154.58666666666656 
185.01435897435914 14.397777777777735 106.8466666666669 34.74119658119628
